EmployeeID,Department,JobRole,Age,MonthlyIncome,AttritionProbability,RiskLevel,EngagementScore,PerformanceRating,WorkLifeBalanceScore,SkillGaps,GapCount,UpskillingRecommendation,TopRiskDrivers
582,Research & Development,Manager,33,13610,0.8528,HIGH,100,3,4,"Adobe Acrobat, Adobe Creative Cloud software, Reading Comprehension",3,Recommended: Advanced Certification in Adobe Acrobat (Addresses critical gap: Adobe Acrobat),"OverTime_No, NumCompaniesWorked, YearsSinceLastPromotion"
584,Research & Development,Laboratory Technician,33,3408,0.8892,HIGH,99,3,3,"Linux, Science, Writing",3,Recommended: Advanced Certification in Linux (Addresses critical gap: Linux),"JobInvolvement, NumCompaniesWorked, EnvironmentSatisfaction"
585,Sales,Sales Representative,30,2983,0.2248,LOW,99,3,3,"3M Post-it App, Active Listening, Adobe Acrobat, Adobe Dreamweaver",4,Recommended: Advanced Certification in 3M Post-it App (Addresses critical gap: 3M Post-it App),"StockOptionLevel, DailyRate, Age"
586,Research & Development,Healthcare Representative,35,7632,0.0356,LOW,100,3,3,Reading Comprehension,1,Recommended: Information Synthesis and Rapid Document Analysis (Addresses critical gap: Reading Comprehension),"OverTime_No, StockOptionLevel, DistanceFromHome"
587,Research & Development,Healthcare Representative,31,9824,0.9271,HIGH,79,3,3,"Alteer Office, Critical Thinking",2,Recommended: Advanced Certification in Alteer Office (Addresses critical gap: Alteer Office),"YearsWithCurrManager, TotalSatisfactionScore, EnvironmentSatisfaction"
590,Human Resources,Human Resources,34,9950,0.8521,HIGH,75,3,3,"Adobe Acrobat, Adobe Human Capital Application Solution Accelerator",2,Recommended: Advanced Certification in Adobe Acrobat (Addresses critical gap: Adobe Acrobat),"OverTime_No, BusinessTravel_Travel_Frequently, TotalSatisfactionScore"
591,Research & Development,Laboratory Technician,42,2093,0.1298,LOW,100,3,3,"Database software, Linux, Monitoring, Writing",4,Recommended: Advanced Certification in Database software (Addresses critical gap: Database software),"BusinessTravel_Travel_Frequently, YearsWithCurrManager, MonthlyIncome"
592,Sales,Sales Executive,36,9980,0.1455,LOW,100,3,2,"Act!, Adobe Acrobat",2,Recommended: Advanced Certification in Act! (Addresses critical gap: Act!),"YearsSinceLastPromotion, StockOptionLevel, ExperienceRatio"
593,Research & Development,Laboratory Technician,22,3894,0.8969,HIGH,100,3,3,"C++, Email software, Linux, Microsoft Access, Monitoring, Reading Comprehension",6,Recommended: Advanced Certification in C++ (Addresses critical gap: C++),"BusinessTravel_Travel_Frequently, Age, NumCompaniesWorked"
595,Sales,Sales Executive,48,4051,0.0713,LOW,100,3,3,Adobe Creative Cloud software,1,Recommended: Advanced Certification in Adobe Creative Cloud software (Addresses critical gap: Adobe Creative Cloud software),"YearsSinceLastPromotion, JobRole_Sales Executive, JobRole_Research Scientist"
597,Sales,Manager,55,16835,0.0402,LOW,100,4,3,Active Listening,1,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"StockOptionLevel, EnvironmentSatisfaction, YearsSinceLastPromotion"
599,Sales,Sales Executive,41,6230,0.0315,LOW,100,3,3,Airtable,1,Recommended: Advanced Certification in Airtable (Addresses critical gap: Airtable),"NumCompaniesWorked, DailyRate, StockOptionLevel"
600,Sales,Sales Executive,35,4717,0.2195,LOW,100,3,3,Critical Thinking,1,Recommended: Executive Decision Making & Critical Thinking Workshop (Addresses critical gap: Critical Thinking),"NumCompaniesWorked, YearsSinceLastPromotion, StockOptionLevel"
601,Research & Development,Manufacturing Director,40,13237,0.0428,LOW,100,3,3,"Adobe After Effects, Apple Final Cut Pro, Critical Thinking, Monitoring",4,Recommended: Advanced Certification in Adobe After Effects (Addresses critical gap: Adobe After Effects),"NumCompaniesWorked, DailyRate, StockOptionLevel"
602,Research & Development,Laboratory Technician,39,3755,0.1463,LOW,100,3,3,"Laboratory information management system LIMS, Linux, Reading Comprehension",3,Recommended: Advanced Certification in Laboratory information management system LIMS (Addresses critical gap: Laboratory information management system LIMS),"BusinessTravel_Travel_Frequently, PercentSalaryHike, TotalSatisfactionScore"
604,Sales,Sales Executive,31,6582,0.1509,LOW,100,3,4,"Adobe Acrobat, Adobe Creative Cloud software, Reading Comprehension, Speaking",4,Recommended: Advanced Certification in Adobe Acrobat (Addresses critical gap: Adobe Acrobat),"OverTime_No, StockOptionLevel, Age"
605,Research & Development,Manufacturing Director,42,7406,0.2259,LOW,100,4,2,"Critical Thinking, Reading Comprehension, Speaking",3,Recommended: Executive Decision Making & Critical Thinking Workshop (Addresses critical gap: Critical Thinking),"DailyRate, DistanceFromHome, OverTime_No"
606,Sales,Sales Executive,45,4805,0.0457,LOW,100,3,4,"Active Listening, Apple Keynote",2,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"WorkLifeBalance, DailyRate, Department_Research & Development"
608,Human Resources,Human Resources,26,2741,0.9385,HIGH,85,3,2,"Adobe Human Capital Application Solution Accelerator, Adobe InDesign",2,Recommended: Advanced Certification in Adobe Human Capital Application Solution Accelerator (Addresses critical gap: Adobe Human Capital Application Solution Accelerator),"OverTime_No, BusinessTravel_Travel_Frequently, YearsWithCurrManager"
611,Research & Development,Manufacturing Director,29,4262,0.0582,LOW,100,3,4,"ABB Optimize IT Predict & Control, Adobe After Effects, Adobe Photoshop, Critical Thinking",4,Recommended: Advanced Certification in ABB Optimize IT Predict & Control (Addresses critical gap: ABB Optimize IT Predict & Control),"DistanceFromHome, DailyRate, WorkLifeBalance"
612,Research & Development,Research Director,33,16184,0.0035,LOW,100,3,3,"Adobe Acrobat, Adobe Photoshop, Clinical trial management software, Reading Comprehension",4,Recommended: Advanced Certification in Adobe Acrobat (Addresses critical gap: Adobe Acrobat),"EnvironmentSatisfaction, JobRole_Research Scientist, ExperienceRatio"
613,Sales,Manager,31,11557,0.0783,LOW,100,4,2,Monitoring,1,Recommended: Performance Monitoring and KPI Management Masterclass (Addresses critical gap: Monitoring),"NumCompaniesWorked, Age, Gender_Female"
614,Sales,Sales Representative,18,1878,0.982,HIGH,85,3,3,"Active Listening, Adobe Acrobat, Adobe Dreamweaver, Adobe Illustrator, Reading Comprehension",5,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"OverTime_No, MonthlyIncome, Age"
615,Sales,Sales Executive,40,10932,0.0255,LOW,93,3,3,"Apple Keynote, Critical Thinking",2,Recommended: Advanced Certification in Apple Keynote (Addresses critical gap: Apple Keynote),"JobInvolvement, DistanceFromHome, JobRole_Sales Executive"
616,Research & Development,Healthcare Representative,41,6811,0.1562,LOW,88,3,3,"AcuStaf, Allscripts healthcare automation software",2,Recommended: Advanced Certification in AcuStaf (Addresses critical gap: AcuStaf),"OverTime_No, TotalSatisfactionScore, StockOptionLevel"
618,Sales,Sales Executive,26,4306,0.3793,MEDIUM,100,3,3,"Apple Keynote, Monitoring, Speaking",3,Recommended: Advanced Certification in Apple Keynote (Addresses critical gap: Apple Keynote),"TotalSatisfactionScore, YearsWithCurrManager, NumCompaniesWorked"
620,Sales,Sales Executive,35,4859,0.0331,LOW,100,3,3,"Act!, Active Listening, Adobe ActionScript",3,Recommended: Advanced Certification in Act! (Addresses critical gap: Act!),"EnvironmentSatisfaction, StockOptionLevel, Department_Research & Development"
621,Sales,Sales Executive,34,5337,0.1394,LOW,100,3,3,"Adobe ActionScript, Airtable, Apple Keynote",3,Recommended: Advanced Certification in Adobe ActionScript (Addresses critical gap: Adobe ActionScript),"DailyRate, YearsSinceLastPromotion, StockOptionLevel"
622,Research & Development,Laboratory Technician,26,2340,0.9956,HIGH,93,3,1,"C++, Critical Thinking, Linux, Microsoft Access, Monitoring, Writing",6,Recommended: Advanced Certification in C++ (Addresses critical gap: C++),"MonthlyIncome, OverTime_No, JobInvolvement"
623,Research & Development,Manufacturing Director,37,7491,0.0407,LOW,100,3,4,Adobe After Effects,1,Recommended: Advanced Certification in Adobe After Effects (Addresses critical gap: Adobe After Effects),"StockOptionLevel, WorkLifeBalance, MonthlyRate"
624,Research & Development,Healthcare Representative,46,10527,0.1197,LOW,98,3,2,"Adobe Acrobat, Alteer Office, American Medical Association CodeManager",3,Recommended: Advanced Certification in Adobe Acrobat (Addresses critical gap: Adobe Acrobat),"NumCompaniesWorked, EnvironmentSatisfaction, DistanceFromHome"
625,Sales,Manager,41,16595,0.0324,LOW,86,3,3,"ActionWare, Adobe Creative Cloud software, Critical Thinking",3,Recommended: Advanced Certification in ActionWare (Addresses critical gap: ActionWare),"NumCompaniesWorked, YearsSinceLastPromotion, TotalSatisfactionScore"
626,Sales,Sales Executive,37,8834,0.0925,LOW,100,3,3,Monitoring,1,Recommended: Performance Monitoring and KPI Management Masterclass (Addresses critical gap: Monitoring),"EnvironmentSatisfaction, YearsSinceLastPromotion, MonthlyIncome"
630,Research & Development,Research Scientist,52,5577,0.0127,LOW,96,3,3,"3D graphics software, Algorithmic software",2,Recommended: Advanced Certification in 3D graphics software (Addresses critical gap: 3D graphics software),"OverTime_No, TotalSatisfactionScore, YearsSinceLastPromotion"
631,Sales,Sales Executive,32,4707,0.8352,HIGH,100,3,3,"Adobe ActionScript, Adobe Creative Cloud software, Critical Thinking, Reading Comprehension",4,Recommended: Advanced Certification in Adobe ActionScript (Addresses critical gap: Adobe ActionScript),"NumCompaniesWorked, StockOptionLevel, DistanceFromHome"
632,Sales,Sales Representative,24,2400,0.1793,LOW,100,3,3,"3M Post-it App, Adobe Creative Cloud software, Adobe Dreamweaver, Reading Comprehension",4,Recommended: Advanced Certification in 3M Post-it App (Addresses critical gap: 3M Post-it App),"BusinessTravel_Travel_Frequently, MonthlyIncome, Age"
634,Research & Development,Healthcare Representative,38,9824,0.0339,LOW,100,3,3,"Adobe Acrobat, Allscripts healthcare automation software, Alteer Office, Monitoring, Reading Comprehension, Speaking",6,Recommended: Advanced Certification in Adobe Acrobat (Addresses critical gap: Adobe Acrobat),"YearsWithCurrManager, DistanceFromHome, JobRole_Research Scientist"
635,Research & Development,Manufacturing Director,37,6447,0.0671,LOW,77,3,2,Adobe After Effects,1,Recommended: Advanced Certification in Adobe After Effects (Addresses critical gap: Adobe After Effects),"TotalSatisfactionScore, NumCompaniesWorked, ExperienceRatio"
638,Research & Development,Research Director,49,19502,0.0039,LOW,100,3,3,"Active Listening, Critical Thinking, IBM Lotus 1-2-3, Reading Comprehension",4,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"OverTime_No, DistanceFromHome, JobRole_Research Scientist"
639,Research & Development,Research Scientist,24,2725,0.2311,LOW,100,3,3,"Active Learning, Active Listening, Amazon DynamoDB, Critical Thinking",4,Recommended: Advanced Certification in Active Learning (Addresses critical gap: Active Learning),"OverTime_No, Age, PercentSalaryHike"
641,Sales,Sales Executive,26,6272,0.1491,LOW,100,4,4,"Adobe ActionScript, Airtable, Monitoring",3,Recommended: Advanced Certification in Adobe ActionScript (Addresses critical gap: Adobe ActionScript),"DistanceFromHome, WorkLifeBalance, EnvironmentSatisfaction"
643,Research & Development,Laboratory Technician,24,2127,0.5275,MEDIUM,100,4,3,"Database software, Laboratory information management system LIMS, Microsoft Access, Monitoring, Science",5,Recommended: Advanced Certification in Database software (Addresses critical gap: Database software),"YearsWithCurrManager, MonthlyIncome, TotalWorkingYears"
644,Human Resources,Manager,50,18200,0.1221,LOW,94,3,3,Monitoring,1,Recommended: Performance Monitoring and KPI Management Masterclass (Addresses critical gap: Monitoring),"PercentSalaryHike, BusinessTravel_Travel_Frequently, YearsSinceLastPromotion"
645,Sales,Sales Representative,25,2096,0.0902,LOW,100,3,3,"ACT! Premium, Reading Comprehension, Writing",3,Recommended: Advanced Certification in ACT! Premium (Addresses critical gap: ACT! Premium),"Age, MonthlyIncome, StockOptionLevel"
647,Research & Development,Laboratory Technician,24,2886,0.8842,HIGH,100,3,3,"Critical Thinking, Database software, Email software, Laboratory information management system LIMS, Reading Comprehension",5,Recommended: Executive Decision Making & Critical Thinking Workshop (Addresses critical gap: Critical Thinking),"OverTime_No, Age, BusinessTravel_Travel_Frequently"
648,Sales,Sales Representative,30,2033,0.9529,HIGH,82,3,4,"3M Post-it App, Active Listening, Adobe Acrobat, Adobe Illustrator, Speaking",5,Recommended: Advanced Certification in 3M Post-it App (Addresses critical gap: 3M Post-it App),"MonthlyIncome, YearsWithCurrManager, TotalWorkingYears"
649,Research & Development,Research Scientist,34,3622,0.0585,LOW,100,3,3,"Amazon DynamoDB, Mathematics",2,Recommended: Advanced Certification in Amazon DynamoDB (Addresses critical gap: Amazon DynamoDB),"OverTime_No, DailyRate, JobLevel"
650,Sales,Sales Executive,31,4233,0.8262,HIGH,45,3,1,"Act!, Adobe ActionScript",2,Recommended: Advanced Certification in Act! (Addresses critical gap: Act!),"WorkLifeBalance, TotalSatisfactionScore, StockOptionLevel"
652,Research & Development,Laboratory Technician,35,3681,0.1494,LOW,100,3,3,"Email software, Reading Comprehension",2,Recommended: Advanced Certification in Email software (Addresses critical gap: Email software),"DistanceFromHome, EnvironmentSatisfaction, JobRole_Laboratory Technician"
653,Sales,Sales Executive,31,5460,0.0699,LOW,100,4,4,Adobe Acrobat,1,Recommended: Advanced Certification in Adobe Acrobat (Addresses critical gap: Adobe Acrobat),"YearsSinceLastPromotion, EnvironmentSatisfaction, WorkLifeBalance"
655,Research & Development,Research Scientist,27,2187,0.0456,LOW,87,3,2,"Active Listening, Amazon DynamoDB",2,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"MonthlyIncome, TotalSatisfactionScore, Age"
656,Sales,Sales Executive,37,9602,0.1944,LOW,100,3,2,"Active Listening, Adobe ActionScript, Airtable, Apple Keynote, Monitoring",5,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"OverTime_No, YearsWithCurrManager, PercentSalaryHike"
657,Research & Development,Research Scientist,20,2836,0.085,LOW,100,3,4,"3D graphics software, Active Learning, Ada, Advanced numerical software, Amazon Elastic Compute Cloud EC2, Critical Thinking, Mathematics",7,Recommended: Advanced Certification in 3D graphics software (Addresses critical gap: 3D graphics software),"YearsWithCurrManager, StockOptionLevel, Age"
659,Research & Development,Healthcare Representative,42,4089,0.0547,LOW,100,3,3,"Allscripts healthcare automation software, Alteer Office",2,Recommended: Advanced Certification in Allscripts healthcare automation software (Addresses critical gap: Allscripts healthcare automation software),"ExperienceRatio, DailyRate, JobRole_Research Scientist"
661,Research & Development,Research Director,43,16627,0.0095,LOW,100,3,2,"Reading Comprehension, Writing",2,Recommended: Information Synthesis and Rapid Document Analysis (Addresses critical gap: Reading Comprehension),"OverTime_No, YearsWithCurrManager, DailyRate"
662,Research & Development,Research Scientist,38,2619,0.069,LOW,91,3,2,"Active Listening, Ada, Advanced numerical software, Amazon Elastic Compute Cloud EC2",4,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"YearsWithCurrManager, StockOptionLevel, DailyRate"
663,Research & Development,Laboratory Technician,43,5679,0.0901,LOW,100,3,3,"Laboratory information management system LIMS, Science, Writing",3,Recommended: Advanced Certification in Laboratory information management system LIMS (Addresses critical gap: Laboratory information management system LIMS),"BusinessTravel_Travel_Frequently, OverTime_No, JobRole_Laboratory Technician"
664,Research & Development,Manager,48,15402,0.0068,LOW,74,3,1,"Adobe Photoshop, Reading Comprehension",2,Recommended: Advanced Certification in Adobe Photoshop (Addresses critical gap: Adobe Photoshop),"TotalSatisfactionScore, NumCompaniesWorked, PercentSalaryHike"
665,Human Resources,Human Resources,44,5985,0.035,LOW,100,3,4,"Active Listening, Adobe Creative Cloud software, Adobe Illustrator, Critical Thinking, Writing",5,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"StockOptionLevel, EnvironmentSatisfaction, WorkLifeBalance"
666,Sales,Sales Representative,34,2579,0.0707,LOW,100,3,3,"ACT! Premium, Active Listening, Adobe Acrobat",3,Recommended: Advanced Certification in ACT! Premium (Addresses critical gap: ACT! Premium),"OverTime_No, EducationField_Technical Degree, MonthlyIncome"
667,Sales,Sales Representative,27,3041,0.4991,MEDIUM,79,3,3,"3M Post-it App, Active Listening, Adobe Illustrator, Critical Thinking, Writing",5,Recommended: Advanced Certification in 3M Post-it App (Addresses critical gap: 3M Post-it App),"PercentSalaryHike, Age, JobRole_Sales Representative"
669,Sales,Sales Representative,21,3447,0.1729,LOW,100,3,3,"ACT! Premium, Adobe Acrobat, Adobe Dreamweaver",3,Recommended: Advanced Certification in ACT! Premium (Addresses critical gap: ACT! Premium),"StockOptionLevel, Age, EducationField_Technical Degree"
671,Research & Development,Manager,44,19513,0.0124,LOW,100,3,4,"ActionWare, Adobe Acrobat, Adobe Photoshop, Critical Thinking",4,Recommended: Advanced Certification in ActionWare (Addresses critical gap: ActionWare),"OverTime_No, RelationshipSatisfaction, JobRole_Research Scientist"
675,Research & Development,Research Scientist,22,2773,0.0702,LOW,100,4,3,"Active Learning, Ada, Algorithmic software, Amazon DynamoDB, Critical Thinking, Mathematics",6,Recommended: Advanced Certification in Active Learning (Addresses critical gap: Active Learning),"StockOptionLevel, Age, EnvironmentSatisfaction"
677,Sales,Sales Executive,33,7104,0.0244,LOW,100,3,3,"Adobe ActionScript, Adobe Creative Cloud software, Monitoring, Speaking",4,Recommended: Advanced Certification in Adobe ActionScript (Addresses critical gap: Adobe ActionScript),"StockOptionLevel, HourlyRate, Department_Research & Development"
679,Research & Development,Research Scientist,32,6322,0.0804,LOW,100,3,2,"3D graphics software, Advanced numerical software, Reading Comprehension",3,Recommended: Advanced Certification in 3D graphics software (Addresses critical gap: 3D graphics software),"OverTime_No, EnvironmentSatisfaction, DailyRate"
680,Research & Development,Research Scientist,30,2083,0.2142,LOW,100,4,3,"3D graphics software, Advanced numerical software, Algorithmic software, Critical Thinking, Mathematics, Reading Comprehension",6,Recommended: Advanced Certification in 3D graphics software (Addresses critical gap: 3D graphics software),"MonthlyIncome, BusinessTravel_Travel_Frequently, YearsWithCurrManager"
682,Sales,Sales Executive,53,8381,0.1571,LOW,100,4,4,"Act!, Airtable, Critical Thinking, Reading Comprehension",4,Recommended: Advanced Certification in Act! (Addresses critical gap: Act!),"YearsSinceLastPromotion, NumCompaniesWorked, DailyRate"
683,Research & Development,Research Scientist,34,2691,0.0166,LOW,100,3,2,Ada,1,Recommended: Advanced Certification in Ada (Addresses critical gap: Ada),"YearsSinceLastPromotion, ExperienceRatio, PromotionLagRatio"
684,Sales,Sales Executive,45,4286,0.8629,HIGH,67,3,3,"Adobe Acrobat, Adobe ActionScript, Adobe Creative Cloud software, Airtable, Critical Thinking, Speaking",6,Recommended: Advanced Certification in Adobe Acrobat (Addresses critical gap: Adobe Acrobat),"BusinessTravel_Travel_Frequently, YearsWithCurrManager, DistanceFromHome"
686,Research & Development,Laboratory Technician,26,2659,0.1336,LOW,100,3,3,"C++, Database software, Email software, Linux, Monitoring, Writing",6,Recommended: Advanced Certification in C++ (Addresses critical gap: C++),"OverTime_No, Age, JobRole_Laboratory Technician"
689,Research & Development,Manufacturing Director,37,9434,0.1083,LOW,100,3,3,Active Listening,1,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"YearsSinceLastPromotion, ExperienceRatio, YearsInCurrentRole"
690,Sales,Sales Executive,29,5561,0.0374,LOW,88,3,2,"Adobe Acrobat, Adobe ActionScript, Apple Keynote, Reading Comprehension",4,Recommended: Advanced Certification in Adobe Acrobat (Addresses critical gap: Adobe Acrobat),"TotalSatisfactionScore, RelationshipSatisfaction, Department_Research & Development"
691,Research & Development,Research Scientist,35,6646,0.0557,LOW,100,3,3,Critical Thinking,1,Recommended: Executive Decision Making & Critical Thinking Workshop (Addresses critical gap: Critical Thinking),"JobInvolvement, StockOptionLevel, YearsSinceLastPromotion"
692,Research & Development,Healthcare Representative,33,7725,0.0116,LOW,100,4,1,"3DGrid HIPAA Checkup, Adobe Acrobat",2,Recommended: Advanced Certification in 3DGrid HIPAA Checkup (Addresses critical gap: 3DGrid HIPAA Checkup),"BusinessTravel_Travel_Frequently, WorkLifeBalance, JobRole_Research Scientist"
698,Human Resources,Human Resources,54,10725,0.0968,LOW,100,3,4,"Adobe Human Capital Application Solution Accelerator, Writing",2,Recommended: Advanced Certification in Adobe Human Capital Application Solution Accelerator (Addresses critical gap: Adobe Human Capital Application Solution Accelerator),"DailyRate, YearsSinceLastPromotion, DistanceFromHome"
699,Research & Development,Manufacturing Director,36,8847,0.1033,LOW,100,3,3,"Active Listening, Adobe InDesign, Monitoring",3,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"OverTime_No, TotalSatisfactionScore, PercentSalaryHike"
700,Research & Development,Research Scientist,27,2045,0.0586,LOW,100,3,3,"Active Learning, Active Listening, Ada, Amazon DynamoDB, Reading Comprehension",5,Recommended: Advanced Certification in Active Learning (Addresses critical gap: Active Learning),"MonthlyIncome, StockOptionLevel, Age"
701,Research & Development,Research Scientist,20,1009,0.9274,HIGH,100,3,3,"Ada, Amazon DynamoDB, Mathematics, Reading Comprehension",4,Recommended: Advanced Certification in Ada (Addresses critical gap: Ada),"OverTime_No, MonthlyIncome, Age"
702,Research & Development,Research Scientist,33,3348,0.8711,HIGH,52,3,3,Critical Thinking,1,Recommended: Executive Decision Making & Critical Thinking Workshop (Addresses critical gap: Critical Thinking),"OverTime_No, TotalSatisfactionScore, StockOptionLevel"
704,Research & Development,Laboratory Technician,35,1281,0.1324,LOW,100,3,3,"Critical Thinking, Database software, Laboratory information management system LIMS, Linux, Microsoft Access, Reading Comprehension, Writing",7,Recommended: Executive Decision Making & Critical Thinking Workshop (Addresses critical gap: Critical Thinking),"MonthlyIncome, YearsWithCurrManager, TotalWorkingYears"
705,Research & Development,Research Scientist,23,2819,0.0761,LOW,83,3,4,"Active Learning, Ada, Amazon Elastic Compute Cloud EC2",3,Recommended: Advanced Certification in Active Learning (Addresses critical gap: Active Learning),"TotalSatisfactionScore, WorkLifeBalance, Age"
707,Sales,Sales Executive,25,4851,0.0565,LOW,100,4,3,"Active Listening, Adobe Creative Cloud software, Apple Keynote, Monitoring, Speaking",5,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"Age, Department_Research & Development, JobRole_Research Scientist"
709,Sales,Sales Executive,38,4028,0.0315,LOW,100,4,3,Airtable,1,Recommended: Advanced Certification in Airtable (Addresses critical gap: Airtable),"StockOptionLevel, DailyRate, Department_Research & Development"
710,Research & Development,Research Scientist,29,2720,0.0591,LOW,100,3,3,"Ada, Advanced numerical software, Amazon Elastic Compute Cloud EC2",3,Recommended: Advanced Certification in Ada (Addresses critical gap: Ada),"JobInvolvement, BusinessTravel_Travel_Frequently, Age"
712,Sales,Sales Executive,48,8120,0.0635,LOW,97,3,3,"Active Listening, Adobe ActionScript, Airtable, Critical Thinking, Reading Comprehension",5,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"StockOptionLevel, JobRole_Sales Executive, Department_Research & Development"
714,Sales,Sales Executive,27,4647,0.0263,LOW,100,4,3,Adobe Acrobat,1,Recommended: Advanced Certification in Adobe Acrobat (Addresses critical gap: Adobe Acrobat),"OverTime_No, BusinessTravel_Travel_Frequently, Age"
715,Research & Development,Research Scientist,37,4680,0.0708,LOW,100,3,3,"Active Listening, Advanced numerical software, Algorithmic software, Amazon DynamoDB, Mathematics, Reading Comprehension",6,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"StockOptionLevel, YearsWithCurrManager, RelationshipSatisfaction"
716,Research & Development,Laboratory Technician,50,3221,0.0412,LOW,100,3,3,"C++, Critical Thinking, Microsoft Access",3,Recommended: Advanced Certification in C++ (Addresses critical gap: C++),"OverTime_No, YearsSinceLastPromotion, DistanceFromHome"
717,Research & Development,Healthcare Representative,34,8621,0.1162,LOW,100,3,4,"3DGrid HIPAA Checkup, American Medical Association CodeManager, Monitoring",3,Recommended: Advanced Certification in 3DGrid HIPAA Checkup (Addresses critical gap: 3DGrid HIPAA Checkup),"StockOptionLevel, DistanceFromHome, WorkLifeBalance"
720,Sales,Sales Executive,24,4577,0.6525,HIGH,70,3,3,"Adobe Creative Cloud software, Apple Keynote, Monitoring, Reading Comprehension",4,Recommended: Advanced Certification in Adobe Creative Cloud software (Addresses critical gap: Adobe Creative Cloud software),"YearsWithCurrManager, TotalSatisfactionScore, StockOptionLevel"
721,Research & Development,Healthcare Representative,39,4553,0.0489,LOW,100,3,3,"3DGrid HIPAA Checkup, Alteer Office",2,Recommended: Advanced Certification in 3DGrid HIPAA Checkup (Addresses critical gap: 3DGrid HIPAA Checkup),"DailyRate, YearsSinceLastPromotion, PercentSalaryHike"
722,Sales,Sales Executive,32,5396,0.023,LOW,100,3,2,"Reading Comprehension, Speaking",2,Recommended: Information Synthesis and Rapid Document Analysis (Addresses critical gap: Reading Comprehension),"StockOptionLevel, ExperienceRatio, JobRole_Sales Executive"
723,Sales,Sales Executive,50,6796,0.7687,HIGH,88,3,3,"Active Listening, Airtable, Reading Comprehension",3,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"OverTime_No, BusinessTravel_Travel_Frequently, TotalSatisfactionScore"
724,Research & Development,Healthcare Representative,38,7625,0.0165,LOW,100,3,2,AcuStaf,1,Recommended: Advanced Certification in AcuStaf (Addresses critical gap: AcuStaf),"StockOptionLevel, DailyRate, BusinessTravel_Non-Travel"
725,Research & Development,Manufacturing Director,27,7412,0.0931,LOW,100,3,3,"Monitoring, Reading Comprehension",2,Recommended: Performance Monitoring and KPI Management Masterclass (Addresses critical gap: Monitoring),"PercentSalaryHike, Age, ExperienceRatio"
727,Research & Development,Research Director,32,11159,0.0202,LOW,100,3,3,IBM Lotus 1-2-3,1,Recommended: Advanced Certification in IBM Lotus 1-2-3 (Addresses critical gap: IBM Lotus 1-2-3),"YearsSinceLastPromotion, StockOptionLevel, IncomePerYearAtCompany"
728,Sales,Sales Executive,47,4960,0.2081,LOW,100,3,3,"Act!, Adobe ActionScript, Adobe Creative Cloud software, Reading Comprehension",4,Recommended: Advanced Certification in Act! (Addresses critical gap: Act!),"DistanceFromHome, StockOptionLevel, JobRole_Sales Executive"
729,Sales,Sales Executive,40,10475,0.1142,LOW,98,4,3,"Act!, Airtable",2,Recommended: Advanced Certification in Act! (Addresses critical gap: Act!),"OverTime_No, NumCompaniesWorked, JobRole_Sales Executive"
730,Research & Development,Research Director,53,14814,0.0053,LOW,100,3,3,"ESRI ArcGIS software, Graphics software, Science",3,Recommended: Advanced Certification in ESRI ArcGIS software (Addresses critical gap: ESRI ArcGIS software),"StockOptionLevel, JobRole_Research Scientist, Gender_Female"
731,Human Resources,Manager,41,19141,0.0369,LOW,100,3,2,"ActionWare, Adobe Photoshop, Monitoring, Reading Comprehension",4,Recommended: Advanced Certification in ActionWare (Addresses critical gap: ActionWare),"DailyRate, YearsSinceLastPromotion, PromotionLagRatio"
732,Sales,Sales Executive,60,5405,0.2099,LOW,81,3,3,"Active Listening, Adobe Creative Cloud software, Critical Thinking, Reading Comprehension",4,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"StockOptionLevel, TotalSatisfactionScore, DistanceFromHome"
733,Research & Development,Manufacturing Director,27,8793,0.2537,LOW,92,4,2,Adobe After Effects,1,Recommended: Advanced Certification in Adobe After Effects (Addresses critical gap: Adobe After Effects),"BusinessTravel_Travel_Frequently, DailyRate, DistanceFromHome"
734,Human Resources,Manager,41,19189,0.0136,LOW,100,3,3,Reading Comprehension,1,Recommended: Information Synthesis and Rapid Document Analysis (Addresses critical gap: Reading Comprehension),"DailyRate, Department_Research & Development, JobRole_Research Scientist"
